                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58932,                0.41099,                0.82889,                0.97189,                0.96449,                0.98811,                 0.8495,                0.55467,                0.36252,                 0.8141,              0.0006634,              0.0006634,              0.0006634
                     36,                0.58531,                0.41537,                0.83137,                0.96401,                0.97125,                0.98751,                0.84688,                0.55707,                 0.3633,                0.81484,              0.0006535,              0.0006535,              0.0006535
                     37,                0.58231,                0.40139,                0.82972,                0.96554,                0.97543,                  0.988,                0.84726,                0.54896,                0.35382,                0.81386,              0.0006436,              0.0006436,              0.0006436
                     38,                0.59355,                0.40578,                0.83347,                0.96175,                0.97602,                0.99001,                0.83989,                0.58105,                0.35379,                0.81776,              0.0006337,              0.0006337,              0.0006337
                     39,                0.57505,                0.39588,                0.82699,                0.97473,                0.96871,                0.98885,                0.84124,                0.55511,                0.35227,                0.81363,              0.0006238,              0.0006238,              0.0006238
                     40,                0.58191,                 0.3969,                 0.8267,                0.97551,                0.96966,                0.98913,                0.84639,                0.55526,                0.34894,                 0.8137,              0.0006139,              0.0006139,              0.0006139
                     41,                0.57359,                0.38587,                0.82691,                0.97578,                0.96812,                0.98813,                0.84947,                0.54513,                0.34919,                0.81144,               0.000604,               0.000604,               0.000604
                     42,                0.56849,                0.38108,                0.82697,                0.97624,                0.96593,                 0.9884,                0.84889,                0.54441,                0.33909,                0.81099,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.5578,                0.37808,                0.82362,                0.96782,                0.97423,                0.98866,                0.85331,                0.53419,                0.33922,                  0.809,              0.0005842,              0.0005842,              0.0005842
                     44,                0.56693,                0.38606,                0.82949,                0.97577,                0.96591,                   0.99,                0.85355,                0.55125,                0.34108,                0.81188,              0.0005743,              0.0005743,              0.0005743
                     45,                0.56239,                0.38958,                0.82871,                0.98138,                0.96272,                0.98945,                0.85624,                0.54406,                0.34216,                0.81065,              0.0005644,              0.0005644,              0.0005644
                     46,                0.56281,                0.38683,                0.82609,                0.97491,                0.96946,                0.98795,                0.85708,                0.54232,                0.34508,                0.81069,              0.0005545,              0.0005545,              0.0005545
                     47,                0.56912,                0.37728,                0.82518,                0.97761,                0.96292,                0.98687,                0.85334,                0.55801,                0.34121,                0.81434,              0.0005446,              0.0005446,              0.0005446
                     48,                0.54143,                0.36611,                0.81898,                0.97662,                0.97046,                0.98959,                0.85081,                 0.5477,                0.33047,                0.81285,              0.0005347,              0.0005347,              0.0005347
