                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.80253,                 2.8737,                0.90747,                0.75529,                0.50871,                0.59798,                 0.5047,                0.62041,                 2.7549,                0.81527,             0.00025239,             0.00025239,             0.00025239
                      1,                0.69102,                 1.0424,                0.86199,                0.91218,                0.92877,                0.96702,                0.81826,                0.58561,                 1.0764,                0.82367,              0.0005062,              0.0005062,              0.0005062
                      2,                0.63819,                0.80352,                0.86106,                0.94111,                0.94982,                0.98223,                0.84848,                0.53521,                0.62064,                0.81958,             0.00075748,             0.00075748,             0.00075748
                      3,                 0.6303,                0.72504,                0.85059,                0.95281,                0.97953,                0.98347,                0.83784,                0.57043,                0.53342,                 0.8227,             0.00075758,             0.00075758,             0.00075758
                      4,                0.63998,                0.68755,                 0.8566,                0.96018,                0.97398,                0.98635,                0.85667,                0.52374,                0.49297,                 0.8125,             0.00075758,             0.00075758,             0.00075758
                      5,                0.60045,                0.63808,                0.84707,                0.96788,                0.97376,                0.98578,                0.86662,                0.49865,                0.46802,                0.81109,             0.00075377,             0.00075377,             0.00075377
                      6,                0.59573,                0.61937,                 0.8431,                0.95728,                0.97192,                 0.9864,                0.87048,                0.49626,                0.45776,                0.80894,             0.00074997,             0.00074997,             0.00074997
                      7,                0.58217,                0.59282,                 0.8421,                0.95082,                0.98287,                0.98705,                0.87081,                0.49411,                0.42279,                0.80809,             0.00074616,             0.00074616,             0.00074616
                      8,                0.57735,                0.56087,                0.83967,                0.96787,                 0.9781,                0.98619,                0.86498,                0.50509,                0.41219,                0.80987,             0.00074235,             0.00074235,             0.00074235
                      9,                0.57721,                0.54589,                0.84142,                 0.9687,                0.97616,                0.98792,                0.86465,                0.50794,                0.41342,                0.81118,             0.00073855,             0.00073855,             0.00073855
                     10,                0.56341,                  0.534,                0.84081,                0.96504,                0.97537,                0.98852,                0.87308,                0.49081,                0.38846,                0.80775,             0.00073474,             0.00073474,             0.00073474
                     11,                0.57172,                 0.5283,                 0.8423,                0.96955,                0.97636,                0.98829,                 0.8774,                0.48192,                0.37915,                0.80639,             0.00073093,             0.00073093,             0.00073093
                     12,                0.55958,                0.50823,                0.83924,                0.95547,                0.97493,                0.98708,                0.87235,                0.47923,                0.42168,                0.80542,             0.00072713,             0.00072713,             0.00072713
                     13,                0.54633,                0.48678,                0.83874,                 0.9655,                0.97479,                0.98848,                0.87956,                0.47945,                0.37486,                0.80628,             0.00072332,             0.00072332,             0.00072332
