                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.57262,                 2.5969,                0.88839,                0.00902,                  0.992,                0.55457,                0.49739,                0.43949,                 2.5073,                0.76642,             0.00031438,             0.00031438,             0.00031438
                      1,                 0.4609,                 1.0098,                0.83064,                0.96139,                0.22842,                0.94641,                0.83295,                0.48441,                 2.3051,                0.77768,             0.00063668,             0.00063668,             0.00063668
                      2,                 0.4268,                0.78649,                0.82721,                0.95288,                0.96077,                0.98098,                0.91297,                0.38622,                 1.3389,                0.77692,             0.00095248,             0.00095248,             0.00095248
                      3,                0.39908,                0.71212,                0.82875,                0.97607,                0.92985,                0.99004,                0.93491,                0.33661,                 1.2613,                0.76749,              0.0012618,              0.0012618,              0.0012618
                      4,                0.39411,                0.66031,                0.82621,                0.96328,                0.99304,                0.98225,                0.93216,                0.33924,                0.78878,                0.76994,              0.0013724,              0.0013724,              0.0013724
                      5,                 0.3814,                0.63562,                0.81428,                0.96611,                0.98925,                0.99035,                 0.9531,                0.30635,                0.55824,                0.76873,              0.0013724,              0.0013724,              0.0013724
                      6,                0.37145,                0.60722,                0.82325,                0.96262,                0.98953,                0.98895,                0.95056,                0.30086,                0.56051,                0.76767,              0.0013583,              0.0013583,              0.0013583
                      7,                0.36886,                 0.5658,                0.81347,                0.97743,                0.99583,                0.98743,                0.93811,                0.32204,                 0.4594,                0.76873,              0.0013441,              0.0013441,              0.0013441
                      8,                0.36724,                0.53069,                0.81971,                0.97342,                0.99583,                0.98557,                0.93881,                0.32543,                0.46207,                0.77079,                0.00133,                0.00133,                0.00133
                      9,                0.37607,                0.52885,                0.82543,                0.95887,                0.99583,                0.98043,                0.94681,                0.29112,                  0.431,                0.76728,              0.0013158,              0.0013158,              0.0013158
                     10,                0.34398,                0.50376,                0.81387,                0.97608,                0.98448,                0.99059,                0.95507,                0.28648,                 0.4536,                0.76894,              0.0013017,              0.0013017,              0.0013017
                     11,                0.34021,                0.47848,                0.81285,                0.98227,                0.99488,                0.99132,                0.96743,                0.26565,                0.36744,                0.76352,              0.0012875,              0.0012875,              0.0012875
                     12,                0.35011,                0.46429,                0.81478,                0.97802,                0.99573,                0.99083,                0.95654,                0.28562,                0.35836,                0.76552,              0.0012734,              0.0012734,              0.0012734
                     13,                  0.343,                0.43834,                0.80864,                0.97437,                0.99768,                0.98462,                0.94918,                0.27931,                0.38741,                0.76266,              0.0012592,              0.0012592,              0.0012592
                     14,                0.33353,                0.43397,                0.81727,                0.97742,                0.99583,                0.98357,                0.95776,                0.27927,                0.34992,                0.76662,              0.0012451,              0.0012451,              0.0012451
                     15,                0.34385,                0.43008,                0.81101,                0.97519,                0.98333,                0.98156,                0.95489,                0.26912,                0.34222,                0.76491,              0.0012309,              0.0012309,              0.0012309
                     16,                0.33403,                0.42921,                0.81092,                0.96781,                0.99939,                0.98638,                0.96262,                0.26813,                0.31168,                 0.7654,              0.0012168,              0.0012168,              0.0012168
                     17,                0.33548,                 0.4172,                0.81555,                0.96421,                0.98776,                0.98579,                0.95891,                0.28314,                0.34095,                0.76621,              0.0012026,              0.0012026,              0.0012026
                     18,                0.32024,                0.39617,                0.80511,                 0.9652,                 0.9963,                0.98222,                0.96224,                0.25491,                0.31254,                0.76231,              0.0011885,              0.0011885,              0.0011885
                     19,                 0.3097,                0.38974,                0.80525,                0.97773,                      1,                0.98965,                 0.9628,                0.26254,                0.29483,                 0.7628,              0.0011744,              0.0011744,              0.0011744
                     20,                 0.3121,                0.37035,                0.80661,                0.98103,                0.99517,                0.98993,                0.97341,                0.25591,                  0.291,                0.76183,              0.0011602,              0.0011602,              0.0011602
                     21,                0.31686,                0.36632,                 0.8046,                0.97043,                      1,                 0.9867,                0.95609,                0.27903,                0.31801,                0.76667,              0.0011461,              0.0011461,              0.0011461
                     22,                0.31647,                0.36076,                 0.8099,                0.98095,                0.98552,                0.98945,                0.96099,                0.25866,                0.27905,                0.76474,              0.0011319,              0.0011319,              0.0011319
                     23,                0.29616,                0.34031,                0.81488,                 0.9763,                0.99573,                0.99146,                0.97597,                0.24041,                0.24306,                0.76288,              0.0011178,              0.0011178,              0.0011178
                     24,                0.30136,                0.34789,                0.81649,                  0.974,                0.99918,                0.98158,                0.96386,                0.24857,                0.25967,                0.76386,              0.0011036,              0.0011036,              0.0011036
                     25,                0.29819,                0.33862,                0.80401,                0.97433,                      1,                0.98455,                0.96727,                0.25028,                0.25781,                0.76091,              0.0010895,              0.0010895,              0.0010895
                     26,                0.30468,                0.35747,                0.81039,                0.97838,                      1,                0.98646,                0.96744,                0.24372,                0.25234,                 0.7616,              0.0010753,              0.0010753,              0.0010753
                     27,                0.29513,                 0.3396,                0.80673,                 0.9765,                0.98986,                0.99235,                0.97165,                0.25585,                0.26489,                0.76303,              0.0010612,              0.0010612,              0.0010612
                     28,                0.29625,                0.33014,                0.80762,                0.97143,                      1,                0.98873,                0.97204,                0.25826,                 0.2723,                0.76481,               0.001047,               0.001047,               0.001047
                     29,                0.31924,                0.33662,                0.80829,                0.97748,                0.99404,                0.98955,                 0.9692,                0.26597,                0.25113,                0.76626,              0.0010329,              0.0010329,              0.0010329
                     30,                0.30408,                0.31836,                 0.8119,                 0.9705,                0.99326,                0.99048,                0.97488,                 0.2561,                 0.2556,                0.76277,              0.0010187,              0.0010187,              0.0010187
                     31,                0.29452,                0.30848,                0.81224,                0.98589,                0.99784,                0.99126,                 0.9723,                0.25787,                0.22439,                0.76277,              0.0010046,              0.0010046,              0.0010046
                     32,                0.29888,                0.31402,                0.81036,                0.98686,                0.99843,                0.99285,                0.97225,                0.26535,                0.22816,                0.76289,             0.00099044,             0.00099044,             0.00099044
                     33,                0.29854,                0.30419,                0.80981,                0.97983,                0.99841,                0.98939,                 0.9637,                0.26744,                0.23172,                0.76338,             0.00097629,             0.00097629,             0.00097629
                     34,                0.30207,                 0.3123,                0.81125,                0.98294,                0.99732,                0.99239,                0.97168,                  0.264,                0.23135,                 0.7644,             0.00096215,             0.00096215,             0.00096215
                     35,                0.30478,                0.31314,                0.81738,                0.98196,                      1,                0.99281,                0.97303,                0.23992,                0.22656,                0.76069,               0.000948,               0.000948,               0.000948
                     36,                0.29057,                0.30721,                0.80823,                0.98629,                0.99447,                0.99296,                0.97376,                0.23718,                0.23873,                 0.7607,             0.00093385,             0.00093385,             0.00093385
                     37,                0.28913,                 0.2958,                0.80495,                 0.9857,                0.99703,                 0.9931,                0.98085,                0.23858,                0.21257,                0.76211,              0.0009197,              0.0009197,              0.0009197
                     38,                 0.2801,                0.28149,                0.80933,                0.98172,                0.99923,                0.99187,                0.97961,                0.23684,                 0.2078,                0.76056,             0.00090556,             0.00090556,             0.00090556
                     39,                0.28256,                0.28374,                0.80461,                 0.9783,                      1,                 0.9923,                0.97828,                0.24381,                0.20331,                0.76207,             0.00089141,             0.00089141,             0.00089141
                     40,                0.28464,                0.28627,                 0.8044,                0.98492,                      1,                0.99211,                0.97623,                0.24089,                0.20762,                0.76172,             0.00087726,             0.00087726,             0.00087726
                     41,                0.28665,                0.27886,                0.80156,                0.98183,                0.99583,                 0.9911,                0.97017,                0.25445,                0.21192,                0.76287,             0.00086312,             0.00086312,             0.00086312
                     42,                0.28838,                0.27497,                0.80122,                0.98965,                0.99194,                0.99244,                0.97456,                0.25342,                0.22138,                0.76257,             0.00084897,             0.00084897,             0.00084897
                     43,                0.29938,                0.28337,                0.80878,                0.98219,                      1,                0.99136,                0.97129,                0.24552,                0.19996,                0.76297,             0.00083482,             0.00083482,             0.00083482
                     44,                0.28176,                0.27743,                0.80962,                 0.9745,                      1,                0.99142,                0.97325,                0.23956,                 0.1999,                0.76088,             0.00082067,             0.00082067,             0.00082067
                     45,                 0.2769,                0.25939,                0.80369,                0.98137,                0.99619,                0.99261,                0.98247,                0.22789,                0.19313,                0.76001,             0.00080653,             0.00080653,             0.00080653
                     46,                0.26928,                0.26452,                0.80162,                0.98352,                0.99864,                 0.9871,                0.97158,                0.23667,                0.19995,                0.76078,             0.00079238,             0.00079238,             0.00079238
                     47,                0.27025,                 0.2681,                0.79785,                0.98502,                0.99939,                0.98841,                0.97542,                0.23923,                0.19905,                0.76199,             0.00077823,             0.00077823,             0.00077823
                     48,                0.29089,                 0.2775,                 0.8105,                0.97787,                0.99932,                0.98602,                0.97115,                0.23716,                0.21703,                0.76421,             0.00076409,             0.00076409,             0.00076409
                     49,                0.28334,                0.27371,                0.80566,                0.98492,                      1,                0.98718,                0.97026,                0.24848,                0.20686,                0.76458,             0.00074994,             0.00074994,             0.00074994
                     50,                0.27964,                0.26651,                 0.8089,                0.98218,                0.99661,                0.98947,                0.97587,                0.24516,                0.20714,                 0.7615,             0.00073579,             0.00073579,             0.00073579
                     51,                0.28593,                0.26265,                0.80124,                0.98135,                      1,                0.98627,                0.96978,                0.23649,                0.20178,                0.76079,             0.00072164,             0.00072164,             0.00072164
                     52,                0.27206,                0.26605,                0.80568,                0.98564,                0.99466,                0.98946,                 0.9749,                0.24387,                0.21566,                0.76128,              0.0007075,              0.0007075,              0.0007075
                     53,                0.26657,                0.26182,                0.80376,                0.97951,                      1,                 0.9897,                0.97688,                0.22973,                0.20377,                0.75968,             0.00069335,             0.00069335,             0.00069335
                     54,                0.26526,                0.25153,                0.80294,                0.98099,                0.99998,                0.99268,                0.98003,                0.23002,                0.18504,                0.75942,              0.0006792,              0.0006792,              0.0006792
                     55,                0.27459,                0.25063,                 0.7982,                0.98604,                      1,                0.99191,                0.97919,                0.23677,                0.18463,                0.76118,             0.00066506,             0.00066506,             0.00066506
                     56,                0.27748,                 0.2581,                0.80736,                0.98058,                0.99894,                0.99437,                0.98268,                0.23487,                0.18876,                0.76059,             0.00065091,             0.00065091,             0.00065091
                     57,                0.28232,                0.25724,                0.80328,                0.98171,                      1,                0.99371,                0.98174,                0.23421,                0.18558,                0.76069,             0.00063676,             0.00063676,             0.00063676
                     58,                0.26696,                0.24143,                0.80467,                 0.9824,                0.99625,                0.99326,                0.97639,                0.23619,                0.19892,                0.76067,             0.00062262,             0.00062262,             0.00062262
                     59,                0.26878,                0.24372,                0.80371,                0.98056,                      1,                0.99438,                0.97862,                0.22618,                0.18278,                0.75952,             0.00060847,             0.00060847,             0.00060847
                     60,                0.26446,                0.24547,                0.80504,                  0.976,                0.99377,                0.99425,                0.97363,                0.24495,                0.20228,                0.76164,             0.00059432,             0.00059432,             0.00059432
                     61,                0.27297,                  0.243,                0.80495,                0.97673,                0.99632,                0.99416,                0.97335,                0.25333,                0.20377,                 0.7615,             0.00058017,             0.00058017,             0.00058017
                     62,                0.26565,                0.23512,                0.80017,                0.98525,                      1,                0.99207,                 0.9788,                0.22804,                 0.1817,                0.75917,             0.00056603,             0.00056603,             0.00056603
                     63,                0.26433,                0.23614,                0.80306,                0.98401,                0.99934,                0.99321,                0.98488,                0.22944,                0.18109,                0.75995,             0.00055188,             0.00055188,             0.00055188
