                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.53494,                 2.5551,                0.88739,                0.00949,                      1,                0.45249,                0.39921,                0.43461,                 2.6592,                0.75109,             0.00031438,             0.00031438,             0.00031438
                      1,                0.43436,                 1.0795,                0.82402,                0.99349,                0.33757,                0.74445,                0.65038,                  0.436,                 2.4745,                0.76048,             0.00063668,             0.00063668,             0.00063668
                      2,                0.44421,                0.78732,                0.82911,                 0.9594,                 0.9432,                0.97637,                0.90229,                0.39407,                 1.3638,                0.78787,             0.00095248,             0.00095248,             0.00095248
                      3,                0.40692,                0.73183,                0.83172,                0.85282,                0.88629,                0.96046,                0.91798,                 0.3101,                 1.1955,                0.76934,              0.0012618,              0.0012618,              0.0012618
                      4,                0.40938,                0.67502,                0.82884,                0.94783,                0.94937,                0.98633,                0.93048,                0.33386,                0.84559,                0.77071,              0.0013724,              0.0013724,              0.0013724
                      5,                0.38919,                0.65218,                0.81681,                0.92367,                0.99583,                0.96952,                0.92221,                0.33388,                0.64713,                0.77653,              0.0013724,              0.0013724,              0.0013724
                      6,                0.38059,                 0.6377,                0.82766,                0.96025,                 0.9251,                0.97615,                0.93452,                0.30083,                0.67957,                0.77042,              0.0013583,              0.0013583,              0.0013583
                      7,                0.37779,                0.58979,                0.81524,                0.97841,                  0.992,                0.99097,                0.93282,                 0.3633,                0.48663,                0.77751,              0.0013441,              0.0013441,              0.0013441
                      8,                0.39753,                0.55065,                0.82318,                0.97394,                0.99148,                0.98875,                0.92049,                0.37719,                0.47193,                0.78218,                0.00133,                0.00133,                0.00133
                      9,                0.38744,                0.52464,                0.82831,                0.97857,                0.99093,                0.98665,                0.93927,                0.31779,                0.42349,                0.77286,              0.0013158,              0.0013158,              0.0013158
                     10,                0.35295,                0.50387,                0.81473,                0.97679,                 0.9992,                0.99204,                0.95537,                0.28882,                0.40506,                0.77173,              0.0013017,              0.0013017,              0.0013017
                     11,                0.35434,                0.48436,                0.81722,                0.98597,                0.99065,                0.99293,                0.95431,                0.29619,                0.39322,                0.77159,              0.0012875,              0.0012875,              0.0012875
                     12,                0.35297,                0.46441,                 0.8173,                0.98068,                0.99386,                0.99178,                0.95689,                0.28704,                0.36752,                0.76961,              0.0012734,              0.0012734,              0.0012734
                     13,                0.34702,                0.44076,                0.80928,                0.97314,                 0.9729,                0.98513,                0.95045,                0.28417,                0.38029,                0.76699,              0.0012592,              0.0012592,              0.0012592
                     14,                0.34736,                  0.439,                0.81761,                 0.9628,                0.99578,                0.98459,                0.95632,                0.27751,                0.39367,                0.76894,              0.0012451,              0.0012451,              0.0012451
                     15,                0.34639,                0.43915,                0.81426,                0.97556,                0.99583,                0.98655,                0.96057,                0.26073,                0.36178,                0.76642,              0.0012309,              0.0012309,              0.0012309
                     16,                0.32964,                0.42579,                0.80979,                0.97608,                0.99968,                0.98922,                0.95715,                0.28203,                0.31898,                0.77239,              0.0012168,              0.0012168,              0.0012168
                     17,                0.32838,                 0.4182,                0.81554,                0.97253,                0.99864,                0.98638,                0.96041,                0.26732,                0.34712,                 0.7695,              0.0012026,              0.0012026,              0.0012026
                     18,                0.32213,                0.40497,                0.80602,                0.98111,                      1,                0.98006,                0.94811,                0.26527,                 0.3231,                0.76706,              0.0011885,              0.0011885,              0.0011885
                     19,                0.30911,                0.38704,                0.80713,                0.96961,                0.99923,                0.98487,                 0.9658,                0.25364,                0.31595,                 0.7674,              0.0011744,              0.0011744,              0.0011744
                     20,                0.31075,                 0.3705,                0.80509,                0.96677,                0.99924,                0.98573,                0.96911,                0.25255,                0.29954,                0.76626,              0.0011602,              0.0011602,              0.0011602
                     21,                0.30917,                0.35866,                0.80456,                 0.9662,                0.99186,                0.98433,                0.95824,                0.27741,                0.31416,                0.76851,              0.0011461,              0.0011461,              0.0011461
                     22,                0.31186,                0.35118,                0.80665,                 0.9823,                0.99229,                0.98954,                0.96306,                0.25967,                0.28832,                0.76638,              0.0011319,              0.0011319,              0.0011319
                     23,                0.29438,                0.33663,                  0.815,                0.98585,                0.99634,                0.99073,                0.97374,                  0.245,                0.24265,                0.76472,              0.0011178,              0.0011178,              0.0011178
                     24,                0.30713,                  0.349,                0.81659,                 0.9815,                      1,                0.99113,                0.97575,                0.25373,                0.25761,                 0.7653,              0.0011036,              0.0011036,              0.0011036
                     25,                0.29821,                0.33685,                0.80504,                 0.9783,                 0.9985,                0.98719,                0.96085,                0.25815,                0.27153,                0.76443,              0.0010895,              0.0010895,              0.0010895
                     26,                0.30575,                0.35505,                  0.812,                0.97794,                0.99583,                0.98538,                 0.9678,                0.24577,                0.25356,                0.76514,              0.0010753,              0.0010753,              0.0010753
                     27,                0.29994,                0.34166,                0.80894,                0.97101,                0.99167,                0.99292,                 0.9708,                0.24642,                0.27303,                0.76578,              0.0010612,              0.0010612,              0.0010612
                     28,                0.29193,                0.33368,                0.80946,                  0.978,                0.99573,                 0.9913,                0.97206,                 0.2415,                0.24267,                0.76499,               0.001047,               0.001047,               0.001047
                     29,                0.30368,                 0.3189,                0.80835,                0.98793,                0.99245,                 0.9903,                0.96851,                0.25627,                0.24086,                0.76637,              0.0010329,              0.0010329,              0.0010329
                     30,                0.30668,                0.31437,                0.81279,                0.97835,                      1,                 0.9892,                0.96894,                0.25136,                0.24218,                0.76551,              0.0010187,              0.0010187,              0.0010187
                     31,                0.28607,                0.31142,                0.81115,                0.98218,                0.99611,                0.98455,                0.96817,                0.24609,                0.23613,                0.76564,              0.0010046,              0.0010046,              0.0010046
                     32,                0.27785,                0.31249,                0.80695,                0.98105,                      1,                0.98908,                0.97336,                0.24293,                0.23782,                0.76363,             0.00099044,             0.00099044,             0.00099044
                     33,                0.28935,                0.30215,                0.80778,                0.97517,                      1,                0.98804,                0.96714,                0.24506,                0.23417,                0.76375,             0.00097629,             0.00097629,             0.00097629
                     34,                 0.2825,                0.29928,                0.80657,                0.97726,                0.99642,                0.99261,                0.97775,                0.24243,                0.22464,                0.76348,             0.00096215,             0.00096215,             0.00096215
                     35,                0.29576,                0.31281,                0.81496,                0.97809,                      1,                0.98328,                0.96592,                0.24458,                0.24289,                0.76449,               0.000948,               0.000948,               0.000948
                     36,                0.28918,                0.30598,                 0.8072,                0.98067,                0.99145,                0.98935,                0.97343,                0.23898,                0.22069,                0.76209,             0.00093385,             0.00093385,             0.00093385
                     37,                0.29474,                0.29566,                0.80547,                0.97137,                 0.9987,                0.98145,                0.96622,                0.24487,                0.23918,                0.76627,              0.0009197,              0.0009197,              0.0009197
                     38,                0.28914,                0.28733,                0.81111,                0.97852,                      1,                0.98804,                0.96649,                0.24136,                0.21691,                0.76449,             0.00090556,             0.00090556,             0.00090556
                     39,                0.28211,                0.28746,                0.80548,                0.97951,                0.99573,                0.99111,                0.97349,                0.24899,                0.21514,                0.76424,             0.00089141,             0.00089141,             0.00089141
                     40,                0.28833,                0.29896,                0.80433,                0.98057,                0.99932,                0.99218,                0.97308,                0.24884,                0.21435,                0.76375,             0.00087726,             0.00087726,             0.00087726
                     41,                0.27946,                0.27869,                0.80051,                0.98244,                 0.9983,                0.98829,                0.96757,                0.24767,                0.22171,                0.76396,             0.00086312,             0.00086312,             0.00086312
                     42,                0.27604,                0.27814,                0.79995,                0.98607,                0.99929,                0.98919,                0.97405,                0.24207,                0.21173,                0.76241,             0.00084897,             0.00084897,             0.00084897
                     43,                0.28282,                0.28282,                0.80785,                0.98536,                      1,                0.99051,                 0.9744,                0.24853,                0.20441,                0.76403,             0.00083482,             0.00083482,             0.00083482
                     44,                0.27642,                0.27303,                0.80858,                  0.985,                      1,                0.99005,                0.97363,                0.24039,                0.19866,                0.76302,             0.00082067,             0.00082067,             0.00082067
                     45,                0.28474,                0.26526,                0.80453,                0.98389,                0.99881,                0.98933,                 0.9716,                0.23816,                0.20354,                0.76355,             0.00080653,             0.00080653,             0.00080653
                     46,                0.27256,                0.26936,                0.80245,                0.98501,                0.99998,                0.99015,                0.97407,                0.24239,                0.19577,                 0.7637,             0.00079238,             0.00079238,             0.00079238
                     47,                0.26292,                0.26661,                0.79756,                0.98304,                0.99898,                0.98748,                0.96949,                0.24846,                0.20702,                0.76364,             0.00077823,             0.00077823,             0.00077823
                     48,                0.27118,                0.26643,                0.80477,                0.98343,                0.99989,                0.98622,                 0.9745,                0.22663,                0.19759,                 0.7618,             0.00076409,             0.00076409,             0.00076409
                     49,                0.27162,                0.26135,                0.80409,                 0.9784,                      1,                0.98872,                0.97316,                0.23293,                0.19726,                 0.7617,             0.00074994,             0.00074994,             0.00074994
                     50,                0.27305,                0.26165,                0.80549,                0.98137,                0.99921,                 0.9901,                0.97425,                0.23049,                0.20621,                  0.763,             0.00073579,             0.00073579,             0.00073579
                     51,                0.27807,                 0.2626,                    0.8,                0.98246,                      1,                0.98687,                0.96846,                0.24286,                0.21301,                0.76334,             0.00072164,             0.00072164,             0.00072164
                     52,                0.26692,                0.26804,                0.80472,                0.97889,                0.99919,                0.98716,                0.97259,                0.24604,                0.21155,                 0.7645,              0.0007075,              0.0007075,              0.0007075
                     53,                0.26012,                0.26604,                0.80278,                0.98522,                      1,                0.98811,                0.97317,                0.23597,                0.21161,                0.76298,             0.00069335,             0.00069335,             0.00069335
                     54,                0.25771,                0.25722,                0.80341,                0.98538,                0.99599,                0.99109,                0.97989,                0.22933,                0.20429,                0.76288,              0.0006792,              0.0006792,              0.0006792
                     55,                  0.263,                0.25213,                0.79538,                0.98123,                0.99992,                0.99127,                0.97478,                0.23887,                0.20119,                0.76468,             0.00066506,             0.00066506,             0.00066506
                     56,                0.26457,                0.25162,                0.80609,                0.98431,                      1,                0.99277,                 0.9771,                0.23052,                0.18652,                  0.762,             0.00065091,             0.00065091,             0.00065091
                     57,                 0.2736,                0.25946,                0.80131,                0.98653,                      1,                0.99214,                 0.9761,                 0.2368,                0.19683,                0.76214,             0.00063676,             0.00063676,             0.00063676
                     58,                0.25821,                0.24054,                0.80332,                0.97898,                0.99647,                0.99318,                0.98266,                0.22796,                0.20555,                0.76127,             0.00062262,             0.00062262,             0.00062262
                     59,                0.26199,                0.24442,                0.80136,                0.98242,                0.99835,                0.99271,                0.97969,                0.22641,                0.18287,                 0.7615,             0.00060847,             0.00060847,             0.00060847
                     60,                0.25804,                0.24558,                0.80207,                0.98082,                0.99173,                0.99266,                0.97566,                0.23739,                0.19939,                0.76267,             0.00059432,             0.00059432,             0.00059432
                     61,                0.26187,                0.23304,                0.80334,                0.98649,                0.99465,                 0.9926,                0.97736,                0.25252,                0.18676,                0.76592,             0.00058017,             0.00058017,             0.00058017
                     62,                0.25652,                0.23398,                0.79962,                0.98506,                      1,                0.99197,                0.97885,                0.23127,                0.18264,                0.76293,             0.00056603,             0.00056603,             0.00056603
                     63,                0.25559,                0.22735,                0.80308,                0.98498,                      1,                0.99062,                0.97743,                0.23481,                0.17792,                0.76236,             0.00055188,             0.00055188,             0.00055188
                     64,                0.26162,                0.24266,                 0.7982,                0.98217,                      1,                0.99183,                0.97691,                0.23074,                0.18477,                0.76203,             0.00053773,             0.00053773,             0.00053773
                     65,                0.26779,                0.23712,                0.79501,                0.98097,                0.99833,                0.99215,                0.97853,                0.22677,                0.18487,                0.76144,             0.00052359,             0.00052359,             0.00052359
                     66,                0.24806,                0.21579,                0.79604,                0.97821,                      1,                0.99091,                0.97993,                0.22352,                0.17611,                0.76139,             0.00050944,             0.00050944,             0.00050944
                     67,                0.24693,                0.22721,                0.80101,                0.97908,                0.99573,                0.99005,                 0.9764,                 0.2261,                 0.1777,                0.76145,             0.00049529,             0.00049529,             0.00049529
                     68,                0.25415,                0.22005,                0.79838,                0.98553,                0.99566,                0.99175,                0.98132,                0.22166,                0.18107,                0.76084,             0.00048114,             0.00048114,             0.00048114
                     69,                0.24854,                0.22874,                0.79907,                0.97937,                      1,                0.99068,                0.97896,                0.22099,                 0.1776,                 0.7612,               0.000467,               0.000467,               0.000467
                     70,                0.25837,                0.22345,                0.79922,                0.97971,                0.99818,                0.99138,                0.97746,                0.22983,                0.18547,                0.76209,             0.00045285,             0.00045285,             0.00045285
                     71,                0.24739,                0.22571,                0.80294,                0.97913,                0.98739,                 0.9898,                0.97752,                0.22434,                0.18387,                0.76098,              0.0004387,              0.0004387,              0.0004387
                     72,                0.24514,                0.21971,                0.79974,                0.97842,                0.99948,                0.98931,                0.97766,                0.21788,                0.17787,                0.76064,             0.00042456,             0.00042456,             0.00042456
                     73,                0.25119,                0.21675,                0.80059,                0.98015,                      1,                 0.9889,                  0.978,                0.22001,                0.17632,                0.76013,             0.00041041,             0.00041041,             0.00041041
                     74,                0.24841,                0.22212,                0.80074,                0.98076,                0.99521,                0.99046,                0.98037,                0.22121,                  0.178,                0.76058,             0.00039626,             0.00039626,             0.00039626
                     75,                0.25001,                0.21713,                 0.8028,                 0.9789,                0.99942,                 0.9916,                0.97913,                0.22379,                0.17142,                0.76076,             0.00038211,             0.00038211,             0.00038211
                     76,                0.23666,                0.21302,                0.80073,                0.98596,                0.99687,                0.99246,                0.98224,                0.22243,                 0.1695,                0.76043,             0.00036797,             0.00036797,             0.00036797
                     77,                0.23908,                0.20309,                0.78999,                0.98151,                0.99726,                0.99281,                 0.9826,                0.21913,                0.17568,                0.76124,             0.00035382,             0.00035382,             0.00035382
                     78,                0.23968,                0.20949,                0.80085,                0.97886,                0.99943,                0.98926,                0.97831,                0.22277,                0.17319,                0.76152,             0.00033967,             0.00033967,             0.00033967
                     79,                 0.2313,                0.20619,                0.80092,                0.98569,                0.99633,                0.99107,                0.98035,                0.21865,                 0.1675,                0.76086,             0.00032553,             0.00032553,             0.00032553
                     80,                0.24801,                0.21322,                0.79734,                0.98586,                0.99601,                0.99267,                0.98153,                0.21914,                0.16333,                0.76103,             0.00031138,             0.00031138,             0.00031138
                     81,                0.23242,                0.20242,                0.80023,                0.98465,                0.99501,                0.99137,                0.97987,                0.21603,                0.16414,                 0.7602,             0.00029723,             0.00029723,             0.00029723
                     82,                0.23138,                0.19309,                0.79833,                0.98443,                0.99573,                0.99142,                0.98109,                0.21898,                0.16156,                0.76065,             0.00028308,             0.00028308,             0.00028308
                     83,                0.23586,                0.20273,                0.79595,                0.98451,                0.99587,                0.99329,                0.97789,                0.22319,                0.16089,                0.76076,             0.00026894,             0.00026894,             0.00026894
                     84,                0.23402,                0.19376,                0.79427,                0.98597,                0.99615,                0.99321,                0.98117,                 0.2163,                0.15687,                 0.7597,             0.00025479,             0.00025479,             0.00025479
                     85,                0.23374,                0.19775,                0.79782,                0.98492,                0.99932,                0.99199,                0.98111,                0.21639,                0.15684,                0.75998,             0.00024064,             0.00024064,             0.00024064
                     86,                0.23327,                0.19275,                0.80296,                0.98572,                0.99657,                0.99017,                0.97905,                0.22075,                0.15415,                 0.7607,              0.0002265,              0.0002265,              0.0002265
                     87,                0.23922,                0.20761,                0.79045,                0.98545,                0.99589,                0.99155,                0.98069,                0.21963,                0.16196,                0.76021,             0.00021235,             0.00021235,             0.00021235
                     88,                 0.2284,                0.19927,                0.80008,                0.98588,                0.99194,                0.99083,                0.98048,                0.21414,                 0.1613,                0.75968,              0.0001982,              0.0001982,              0.0001982
                     89,                0.22749,                0.19237,                0.79469,                0.98535,                0.99583,                0.99064,                0.98003,                0.21398,                0.15675,                0.76001,             0.00018406,             0.00018406,             0.00018406
                     90,                0.21831,                0.18599,                0.77818,                0.98279,                      1,                0.98829,                0.97702,                0.21877,                 0.1635,                0.76054,             0.00016991,             0.00016991,             0.00016991
                     91,                0.20982,                0.19151,                0.77661,                0.98139,                0.99583,                0.99112,                0.97922,                0.21747,                0.16475,                0.76065,             0.00015576,             0.00015576,             0.00015576
                     92,                0.20994,                 0.1727,                0.77105,                0.98461,                      1,                0.98918,                0.97743,                0.21639,                0.15518,                 0.7603,             0.00014161,             0.00014161,             0.00014161
                     93,                0.20575,                0.17077,                0.78266,                0.98066,                0.99928,                0.98906,                 0.9793,                0.21927,                0.16105,                0.76071,             0.00012747,             0.00012747,             0.00012747
                     94,                0.20965,                 0.1743,                 0.7755,                0.98573,                0.99286,                0.99037,                0.97985,                 0.2186,                0.15855,                0.76002,             0.00011332,             0.00011332,             0.00011332
                     95,                0.20128,                0.16312,                0.78145,                0.98034,                0.99907,                0.98965,                0.97938,                0.21903,                 0.1542,                 0.7605,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.20414,                0.16264,                0.76395,                0.98208,                0.99907,                0.98982,                 0.9792,                 0.2205,                0.15389,                0.76013,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.1974,                0.15623,                0.76825,                0.98451,                      1,                0.99034,                0.97972,                0.21746,                0.14975,                0.76018,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.20046,                0.15812,                0.77636,                0.98412,                      1,                0.99035,                0.97905,                0.21577,                0.14814,                0.76021,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.20251,                0.15917,                0.77112,                0.98159,                      1,                0.99124,                0.97972,                0.21738,                0.15001,                0.76021,             4.2584e-05,             4.2584e-05,             4.2584e-05
