                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.53522,                 3.2133,                0.89168,                 0.0603,                0.96735,                0.40219,                  0.367,                0.41638,                 3.2308,                0.77238,             0.00016918,             0.00016918,             0.00016918
                      1,                0.44815,                 1.5093,                0.83888,                0.96626,                0.50958,                0.95319,                0.86246,                0.41021,                 2.0065,                0.76408,             0.00034262,             0.00034262,             0.00034262
                      2,                0.41981,                 0.8417,                0.83231,                0.98952,                0.32008,                 0.9365,                0.86886,                0.35851,                 2.2337,                0.76853,             0.00051257,             0.00051257,             0.00051257
                      3,                0.38576,                0.75553,                0.83189,                0.99403,                 0.3084,                0.98055,                0.94553,                0.31202,                 2.2668,                0.77061,             0.00067901,             0.00067901,             0.00067901
                      4,                 0.3672,                0.71151,                0.82357,                0.98114,                0.97487,                0.98483,                0.93931,                0.30613,                 1.3271,                0.76689,             0.00073855,             0.00073855,             0.00073855
                      5,                0.35929,                0.68909,                0.81426,                 0.9586,                0.99071,                 0.9835,                0.94433,                0.29477,                0.70074,                0.77202,             0.00073855,             0.00073855,             0.00073855
                      6,                0.34366,                0.64915,                0.82453,                0.97114,                0.99434,                0.98763,                0.95812,                0.26489,                0.61847,                0.76518,             0.00073093,             0.00073093,             0.00073093
                      7,                0.34064,                 0.6047,                0.81242,                0.97185,                0.99395,                0.98486,                0.94868,                0.28336,                0.44693,                0.76875,             0.00072332,             0.00072332,             0.00072332
                      8,                0.34062,                0.57601,                0.81804,                0.97251,                0.99201,                0.98843,                0.94862,                0.30681,                0.46747,                0.77539,             0.00071571,             0.00071571,             0.00071571
                      9,                0.34884,                0.57579,                0.82365,                0.97433,                0.98927,                0.98287,                0.96013,                0.26527,                0.39885,                0.76737,              0.0007081,              0.0007081,              0.0007081
                     10,                0.31906,                0.54415,                0.81162,                0.97466,                0.99767,                0.98864,                0.96703,                0.25412,                0.36309,                0.76703,             0.00070048,             0.00070048,             0.00070048
                     11,                0.32813,                0.52501,                0.81081,                0.98031,                0.99945,                0.99255,                0.96892,                0.26229,                0.37174,                0.76709,             0.00069287,             0.00069287,             0.00069287
                     12,                0.32406,                0.50668,                0.81325,                0.97313,                      1,                 0.9906,                 0.9731,                0.25108,                 0.3472,                0.76683,             0.00068526,             0.00068526,             0.00068526
                     13,                 0.3239,                0.48187,                0.80713,                0.97604,                0.99573,                0.98875,                0.96658,                0.26494,                0.40105,                0.76716,             0.00067764,             0.00067764,             0.00067764
                     14,                0.31073,                0.47528,                 0.8133,                 0.9766,                      1,                0.98692,                0.96966,                0.24604,                0.36319,                 0.7659,             0.00067003,             0.00067003,             0.00067003
                     15,                 0.3064,                0.47277,                0.80968,                0.97734,                0.99573,                 0.9866,                0.97411,                0.24308,                0.34545,                0.76557,             0.00066242,             0.00066242,             0.00066242
