                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5776,                  4.978,                 4.2886,                      0,                      0,                      0,                      0,                 5.3865,                 5.1875,                 4.1933,              0.0003254,              0.0003254,              0.0003254
                      1,                 3.1421,                 2.8939,                 3.3357,                0.00052,                0.02116,                0.00207,                0.00075,                 5.1384,                 4.6205,                 4.1368,             0.00065221,             0.00065221,             0.00065221
                      2,                 2.4157,                 2.2042,                 2.5122,                0.60257,                0.24895,                0.25412,                0.07746,                 3.2835,                  2.311,                    2.7,             0.00097242,             0.00097242,             0.00097242
                      3,                 2.1331,                 1.8445,                  2.118,                0.45815,                0.57531,                0.48067,                0.22185,                 2.0872,                  1.664,                 2.0583,              0.0009703,              0.0009703,              0.0009703
                      4,                  1.906,                 1.6176,                 1.7785,                0.67786,                0.66228,                 0.6907,                0.35121,                  1.653,                 1.2956,                 1.6452,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7449,                 1.4131,                 1.6504,                0.78173,                0.77435,                  0.821,                0.46387,                 1.4882,                 1.0822,                 1.5136,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.6201,                 1.3089,                 1.5057,                0.75412,                0.77549,                0.83673,                0.45769,                 1.4436,                 1.1089,                 1.4143,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.5144,                 1.1833,                 1.4159,                0.77665,                0.83684,                0.86997,                 0.5225,                 1.3624,                 1.0252,                 1.3304,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.4207,                 1.1078,                 1.3628,                0.84049,                0.86434,                0.90824,                0.56178,                 1.2774,                 0.9293,                 1.2701,              0.0009307,              0.0009307,              0.0009307
                      9,                  1.347,                 1.0284,                  1.277,                0.81872,                0.87394,                0.91929,                0.59288,                 1.2306,                0.93151,                 1.2348,              0.0009208,              0.0009208,              0.0009208
