                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1061,                 4.7114,                0.99634,                0.02146,                0.72257,                0.16268,                0.11597,                  0.885,                 3.4895,                0.85054,             0.00025023,             0.00025023,             0.00025023
                      1,                0.88932,                 3.0838,                0.85452,                0.85337,                0.16374,                0.42333,                0.31798,                0.81879,                 2.7257,                0.81772,             0.00050155,             0.00050155,             0.00050155
                      2,                0.85035,                 2.6329,                0.84094,                 0.6863,                 0.3681,                0.52388,                0.41034,                0.76279,                 2.3578,                0.80775,             0.00074779,             0.00074779,             0.00074779
                      3,                0.81747,                 2.2477,                0.83464,                0.81967,                0.49622,                0.73321,                0.59259,                0.70611,                 1.8319,                0.79473,             0.00074616,             0.00074616,             0.00074616
                      4,                0.83268,                 1.9085,                0.83631,                 0.5188,                0.74685,                0.81943,                0.65157,                  0.687,                 1.4402,                0.79077,             0.00074616,             0.00074616,             0.00074616
                      5,                0.77743,                 1.5869,                0.83253,                0.87154,                0.82742,                0.93192,                0.74328,                0.66188,                 1.1922,                0.78895,             0.00073855,             0.00073855,             0.00073855
                      6,                0.75898,                  1.319,                0.82357,                0.94826,                0.90028,                0.95306,                 0.7639,                 0.6381,                0.91754,                0.78783,             0.00073093,             0.00073093,             0.00073093
                      7,                0.73567,                 1.1294,                0.82558,                0.95702,                0.93228,                0.96654,                0.78129,                0.62317,                 0.8019,                0.78581,             0.00072332,             0.00072332,             0.00072332
                      8,                0.72042,                   1.01,                0.82182,                0.95119,                0.94664,                0.97227,                0.78137,                0.63161,                0.72884,                 0.7878,             0.00071571,             0.00071571,             0.00071571
                      9,                0.71438,                 0.9501,                0.82199,                0.95973,                0.93575,                0.97167,                0.79213,                0.59148,                0.63515,                0.78153,              0.0007081,              0.0007081,              0.0007081
                     10,                0.70684,                0.89282,                0.81292,                0.96415,                0.93821,                0.96673,                0.79469,                0.58846,                0.59499,                0.78128,             0.00070048,             0.00070048,             0.00070048
                     11,                0.68496,                0.84713,                0.81414,                0.96387,                0.94242,                0.97339,                0.80038,                0.58261,                0.58741,                0.78173,             0.00069287,             0.00069287,             0.00069287
                     12,                0.67316,                0.81117,                0.81452,                0.96458,                0.94187,                 0.9678,                0.80527,                0.56413,                0.57007,                0.78131,             0.00068526,             0.00068526,             0.00068526
                     13,                0.65822,                0.77896,                0.81289,                0.94586,                0.94297,                0.96791,                0.80016,                0.57883,                0.57382,                0.78099,             0.00067764,             0.00067764,             0.00067764
                     14,                 0.6493,                0.76383,                0.81305,                0.95562,                0.95743,                0.97294,                0.80935,                0.57062,                0.53875,                0.77849,             0.00067003,             0.00067003,             0.00067003
                     15,                0.66478,                0.77761,                0.81668,                0.96941,                0.93057,                0.97197,                0.80664,                 0.5708,                0.54096,                 0.7811,             0.00066242,             0.00066242,             0.00066242
                     16,                0.64939,                0.76189,                0.81146,                0.96145,                0.95502,                0.97918,                0.81381,                0.55764,                0.53361,                0.77805,              0.0006548,              0.0006548,              0.0006548
                     17,                0.64654,                0.75363,                0.81631,                0.96014,                0.95469,                0.97881,                 0.8197,                 0.5633,                 0.5419,                0.77937,             0.00064719,             0.00064719,             0.00064719
                     18,                0.64795,                0.74307,                0.81478,                0.95851,                0.94763,                0.97637,                   0.81,                0.55722,                0.53784,                0.78052,             0.00063958,             0.00063958,             0.00063958
                     19,                0.62903,                0.73759,                0.81753,                0.95071,                0.95544,                0.97425,                0.81337,                0.55006,                0.53553,                0.78033,             0.00063196,             0.00063196,             0.00063196
                     20,                0.63878,                0.70704,                0.81345,                0.95331,                0.94454,                0.97432,                 0.8107,                0.57086,                0.51594,                0.78406,             0.00062435,             0.00062435,             0.00062435
                     21,                0.62849,                0.69908,                0.81657,                0.96446,                0.95599,                0.97387,                 0.8137,                0.56154,                0.51575,                 0.7818,             0.00061674,             0.00061674,             0.00061674
                     22,                0.62896,                 0.6863,                0.81734,                0.96125,                0.94703,                0.97657,                0.81976,                0.54316,                0.51123,                0.78244,             0.00060912,             0.00060912,             0.00060912
                     23,                 0.6149,                0.67716,                0.81679,                0.96688,                0.94379,                0.97496,                0.81584,                0.54821,                 0.5042,                0.78215,             0.00060151,             0.00060151,             0.00060151
                     24,                0.61692,                 0.6737,                0.81416,                0.97054,                0.94209,                0.97741,                0.81678,                0.54763,                0.49557,                0.78137,              0.0005939,              0.0005939,              0.0005939
                     25,                0.60384,                0.68737,                0.81528,                0.96433,                0.94657,                0.97417,                0.81512,                0.54352,                0.50907,                0.78287,             0.00058629,             0.00058629,             0.00058629
                     26,                0.59254,                0.64993,                0.81246,                0.96234,                0.95051,                0.97924,                0.83262,                0.53482,                0.50039,                0.78046,             0.00057867,             0.00057867,             0.00057867
                     27,                0.61896,                0.67067,                0.81727,                  0.972,                  0.945,                0.97872,                0.82908,                 0.5295,                0.51236,                0.78289,             0.00057106,             0.00057106,             0.00057106
                     28,                0.61689,                0.67193,                0.81035,                0.95727,                0.95955,                0.97833,                0.81983,                 0.5398,                0.50669,                0.78261,             0.00056345,             0.00056345,             0.00056345
